,Mean RMS
0,-13.705363018140247
1,-20.853937639667503
2,-2.5356662815116673
3,-7.668474704174679
4,-8.170023097290267
5,-11.663478189903717
6,-16.44011064062994
7,-9.989821782113575
8,-12.224310733732521
9,-18.789699334776245
10,-24.720764185128008
11,-9.292748798383084
12,-11.110100995601911
13,-6.774374455095905
14,-24.958908990559866
15,-8.844436606164445
16,-11.09240710957543
17,-3.7057414729917455
18,-14.107103273649228
19,2.7935395856599023
20,-6.176525495745679
21,5.608797731922806
22,-5.777973990339233
23,-3.935340931194288
24,-25.502099754729787
25,-4.579825119184409
26,-5.430252693485614
27,-4.628769014746718
28,-3.1416799403850417
29,-14.177627898836885
30,-12.042064077352052
31,-20.53594976922495
32,-32.74938255768435
33,-12.758436189904847
34,3.6483558999760675
35,3.5270630387668245
36,2.823515115743838
37,-22.47852182769537
38,-9.781417542629715
39,-14.083716849794735
40,-9.582649137951936
41,4.549383695477226
42,-0.9403496846656575
43,-15.704967364691676
44,-4.201219602084335
45,-7.123825273667582
46,-6.38383998657676
47,-3.546666732710682
48,0.7246806849538954
49,-9.943922520175462
50,-9.3354292621957
51,-2.692276113545273
52,-9.164953446624795
53,-15.222555433575025
54,-11.414203661980633
55,-16.721606335031844
56,-29.327092326432282
57,-18.91348025790567
58,-14.959937912634969
59,-23.8350665461819
60,-17.28994776547266
61,-6.113116043475797
62,-7.10628189414868
63,-11.925275471120804
64,-21.466190365097862
65,-11.45832740232887
66,-7.847734834090666
67,-13.546322452222226
68,-2.2960282589941587
69,-3.003605039976322
70,-7.657859976709349
71,3.6958836180128745
72,-16.142612050921763
73,-7.342004282609151
74,1.8329273705377918
75,-11.883131924928959
76,-8.060243993829577
77,-6.210179481382288
78,-2.890562864472735
79,-6.735732917194201
80,2.1605802808304237
81,0.9287039692241215
82,2.4962384630626575
83,8.173941707846327
84,-3.037328808242725
85,-17.658951924689934
86,-6.6138624643735895
87,7.81242851061006
88,2.041820457524579
89,-3.7275706975308163
90,-19.704987896766198
91,-14.832875032238222
92,-15.723823688976555
93,-2.3898886613304033
94,-1.0595213092939395
95,-3.7715650295362018
96,12.289771851614725
97,-14.859876387963334
98,1.2583107572995706
99,-13.555820780827029
100,-5.930191199341774
101,12.580860639619628
102,-11.58321799972088
103,-18.139348719497598
104,-11.04890624957699
105,-3.007927351910877
106,-10.972030957568942
107,4.1096355221381025
108,-7.031555910208553
109,-1.9704667028514413
110,0.5634206619797842
111,-8.213419203897882
112,2.6864564863742846
113,-2.7813634875717232
114,-23.382637156797383
115,-18.711761398395566
116,-10.80268628133411
117,-8.721986119005443
118,-4.863291232465175
119,-4.980757401386139
120,-4.4459319218045685
121,-2.7256605074012983
122,-6.668574144591029
123,-5.671256140875753
124,-16.88582774484379
125,-0.2582904124297455
126,5.975794005491758
127,5.4376980947604485
128,-10.206715157578547
129,-0.7237388802573063
130,-5.893741078402948
131,-13.28529391536258
132,-9.866256749038719
133,-3.710437538703397
134,-14.496723355942333
135,-16.084605366092884
136,-1.4964876152209516
137,-6.316726802134011
138,-16.657060309371712
139,-4.972174586924962
140,-5.930565054299826
141,-12.049731340127323
142,-7.320062598360076
143,-3.50394917106666
144,3.161428708325144
145,-3.833350255856639
146,-12.723907003116297
147,-19.805364043360512
148,-4.684896815118847
149,-0.010935595826501247
150,-4.704976721550023
151,-11.089767352083648
152,-22.23732222430708
153,-9.167989288416184
154,5.1631385343319955
155,9.549257270418376
156,2.861934557788785
157,4.602287316487665
158,5.943351507074157
159,4.274803962632679
160,-1.4137262552156116
161,-1.2752792911583581
162,0.8493927820049574
163,10.649197177162076
164,2.478710697400082
165,8.558850553362365
166,6.386487082101166
167,-14.458191611958672
168,-1.9383295090439436
169,-0.6765010641255623
170,-1.6790127264173054
171,-8.1518344838075
172,1.7991176413948768
173,-1.0052599511938136
174,-18.693819928144396
175,-24.741371471388636
176,-15.244604111353384
177,-5.456325622691973
178,0.8574903459830356
179,7.469684898510071
180,-0.4017701054618092
181,-5.008974131795059
182,-21.218716833984132
183,-23.664969642191778
184,-11.495793458462707
185,1.2168864717555912
186,-5.284525463502596
187,-8.881865424977217
188,-6.327316868582584
189,-8.546242458043965
190,-33.53252506294948
191,-30.50670690728933
192,-12.905807352802189
193,-15.202850438935565
194,-7.176324705422268
195,-4.680327987342833
196,-38.06438527066922
197,-30.291854145585773
198,-6.4859903566075365
199,-8.125028456242301
200,-1.7681458963461572
201,-6.3685097833569335
202,-16.652899451465764
203,-21.41192217927625
204,-16.238943953344418
205,0.9438018879738033
206,-20.856649258266724
207,-2.9968540053409303
208,-15.550329853680397
209,-18.86345562441147
210,-11.763217479333097
211,-9.166431161491577
212,-12.004643154397277
213,-7.048322880650217
214,-0.20445019966604022
215,-1.2440011655663346
216,-4.236925008644812
217,-17.841719498242327
218,-14.364525769237396
219,-11.45795397681338
220,-16.977536468908358
221,-17.98209019969557
222,-6.526283508394834
223,-19.006598495935513
224,-7.163540316899263
225,-14.71786492217307
226,-11.057214457018741
227,-8.478395729631291
228,-16.881757179467073
229,-15.234494953610053
230,-11.133118823089005
231,-7.539243857072608
232,-14.160153626280897
233,-13.287496439062865
234,-7.807232029076439
235,-17.375088848573842
236,-34.62240320133631
237,-15.58024303253998
238,-13.01440495455136
239,-20.821165472334915
240,-19.822961573710838
241,-13.67352614438821
242,-12.205712799486761
243,-14.05267371488881
244,-28.667481937040485
245,-13.671463779295943
246,-25.58493732770537
247,-17.709157121643667
248,-16.148876181930305
249,-16.04127269306062
250,-17.764852669617312
251,-8.013458373141706
252,-12.017039227843737
253,-21.345397387742285
254,-14.50545948786621
255,-15.044264331540829
256,-23.298982307843115
257,-12.49555958457047
258,-18.57908130669877
259,-16.33314443148117
260,-33.34437993205583
261,-8.517271159904489
262,-12.05470936628676
263,-11.618096747006854
264,-10.958824206775223
265,-8.076530204944698
266,-12.624756644339735
267,-12.685908122590341
268,-10.18188788539549
269,-10.836452443318413
270,-9.219472354918434
271,-7.080867652527819
272,-6.529522777378432
273,-22.798951891596086
274,-9.738145729607055
275,-11.77093173579023
276,-17.497133211504757
277,-7.796511620821871
278,-15.427579350137671
279,-13.093133858873497
280,-8.84959802800558
281,-30.33610311698392
282,-18.690667068608715
283,-21.102365809616927
284,-21.90514893868613
285,-24.970878486816865
286,-14.56458144123022
287,-34.86310944716808
288,-30.43752790026172
289,-21.226725447920607
290,-30.231079882240245
291,-14.962643219558531
292,-22.522481832657284
293,-6.754466591153355
294,-7.759502704669747
295,-10.341277673775664
296,-19.138604455242653
297,-13.329164405693215
298,-24.467385030120983
299,-4.936394633920035
300,-16.898614470720812
301,-19.934441542978846
302,-10.634304495930307
303,-17.92269217444615
304,-12.244538892468187
305,-12.810758800921585
306,-20.763809098435615
307,-15.125100977594084
308,-14.708013002200138
309,-14.093457172986396
310,-18.76995192610697
311,-9.636935025066352
312,-5.701779151790569
313,-20.967209719078106
314,-3.9170248791274935
315,-13.066214871046755
316,-22.922363297108234
317,-10.750541991997633
318,-3.9610583246942874
319,-12.008606085903049
320,-6.972088286462223
321,-0.5718971788155224
322,-3.303998384940276
323,-8.388606468359521
324,-1.1951373316095912
325,-24.633603724227015
326,-9.85015832457389
327,-13.493479562708208
328,4.520186954840645
329,3.4472142158794017
330,0.5945606860298775
331,-18.178527380711433
332,-4.828720900275474
333,0.8336537785844125
334,-13.280551950933507
335,-20.174486856295335
336,-17.89245255315995
337,-13.488269408487591
338,-12.561857388398465
339,-23.19771561921936
340,-2.063393937430304
341,-12.914113185758058
342,-13.780279619108724
343,-9.70061254958046
344,-22.003183868075883
345,-3.1357127777160874
346,-7.598646810809168
347,-3.1357135630251998
348,-5.778137472030473
349,-6.872595746259174
350,-2.182315154388728
351,-8.424079850589733
352,-10.202075557244237
353,-13.870736131515587
354,-23.36185471200021
355,-21.153324518193063
356,-12.13477676351199
357,-31.746772231424952
358,-11.145778246113254
359,-15.047786761824856
360,-10.307876910539695
361,-8.87833640993991
362,-12.474921972487763
363,-12.47168316459467
364,-7.646296443973437
365,-10.752405947754447
366,-14.73701645109595
367,-27.442368490064283
368,-15.597592206994912
369,-12.890275355485251
370,-14.755901079949554
371,-17.966553854057
372,-18.85753214780712
373,-5.1401194024216315
374,-10.788910217511901
375,-5.178362129387355
376,-15.816826332523608
377,-21.46066396399833
378,-12.434711441478953
379,-14.0733901914895
380,-22.432976207313345
381,-16.094595698313384
382,-16.509506473010912
383,-14.547301482041673
384,-14.983916541434988
385,-0.517606281907803
386,0.14264178284755133
387,-13.128356381135465
388,-20.87790365752802
389,-9.752592041501492
390,-7.763416339270881
391,-45.84401570145621
392,-31.60167068499107
393,-7.778520040287609
394,-17.15754971888934
395,-6.943690631358298
396,-3.42462543447878
397,-1.262199795652346
398,-4.440041685085254
399,-0.8287115576393078
400,-6.700509894822958
401,-3.980943243862686
402,-8.739992113191152
403,-11.72035870486842
404,-1.842641413271367
405,-7.037085375742243
406,-10.545394853676276
407,-10.283228956612382
408,-1.320911795386104
409,1.0325239458386262
410,-9.137808191281378
411,-2.2465133145749965
412,-22.740718157457245
413,-7.895676027695507
414,-9.35568950059518
415,0.451911704116272
416,-11.67574312693739
417,-3.2008744008927206
418,-13.862751732483348
419,-7.385532112619592
420,-6.1525398767768325
421,2.22111250046658
422,0.8173384189997077
423,-7.601493632953109
424,-6.220380667307454
425,-18.465212336673027
426,-7.6150986359744355
427,-4.949829669148282
428,6.316125861845819
429,-7.0637486137865135
430,-4.516646897939674
431,-0.7942888476917096
432,-10.909474515973116
433,-9.338919343835489
434,-1.198582930437182
435,-11.20629345453616
436,-5.823586711587846
437,-8.597083799949507
438,-22.83737223108377
439,-19.313340315613562
440,-12.244717804526886
441,-6.766582872867301
442,-17.84481510554116
443,-15.164901010345748
444,-15.74238020971704
445,-14.972703542905672
446,-16.88517888435879
447,-15.888545927780195
448,-9.550170183502134
449,-1.9874364129160222
450,3.6305145801033003
451,-3.2728942978453017
452,-19.160657568364602
453,-12.622056362916522
454,-4.852999156135608
455,-2.500852500532577
456,-25.930924164416535
457,-10.279509328695823
458,-20.08203800938046
459,-20.675972641292912
460,-11.856505883656666
461,-7.1024674527219185
462,-7.334397914585004
463,-7.302260141262984
464,-0.837878500461262
465,-10.219469782829336
466,-21.20921138912707
467,-10.866418619731144
468,-3.498493719909611
469,-0.012801681387139104
470,-4.480920405121411
471,-6.832059543421092
472,-24.610325417669657
473,-5.324433427990433
474,0.08181064823686701
475,-10.405271640851739
476,-22.3399656008332
477,-13.994480353441242
478,-6.468331973221474
479,-14.920751935007846
480,-8.750419613838952
481,-15.624686797914613
482,-16.94271115944606
483,-21.611323489102382
484,-22.175114313130287
485,-15.549478696541714
486,-6.811248672574664
