Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
1,-0.015054,0.011209,0.001245,0.019583,-0.011341,0.030401,0.019363,-0.010344,50.065148
1,-0.014649,-0.013314,0.002831,0.011482,-0.008079,0.031029,0.019387,-0.010349,50.096381
1,-0.012114,-0.000929,0.009186,0.026974,-0.017475,0.028895,0.019379,-0.010358,50.0858
1,-0.017369,-0.018359,0.001325,0.007405,-0.006219,0.024818,0.019344,-0.010359,50.041475
1,-0.012994,-0.009647,0.021654,0.020334,-0.011685,0.021857,0.019335,-0.01036,50.029147
1,-0.01253,-0.010428,0.003293,0.00568,-0.004014,0.026783,0.019346,-0.010346,50.043924
1,-0.011737,-0.022388,0.016411,0.016879,-0.013583,0.025826,0.019357,-0.010347,50.057597
1,-0.010384,-0.019913,0.015827,0.011479,-0.013815,0.02533,0.019347,-0.010346,50.044444
1,-0.009209,-0.014739,0.008417,0.016275,-0.012905,0.028526,0.01936,-0.010341,50.061693
1,-0.015225,-0.012751,0.005684,0.015027,-0.011521,0.027375,0.019397,-0.010347,50.109341
1,-0.011941,-0.017326,0.00968,0.016794,-0.013333,0.024918,0.019348,-0.010362,50.046138
1,-0.011856,-0.017687,0.0162,0.017684,-0.012343,0.023736,0.019351,-0.010353,50.049774
1,-0.014064,-0.028743,0.007102,0.011768,-0.012169,0.02559,0.019323,-0.010351,50.013598
1,-0.016952,-0.030577,0.014509,0.017963,-0.003588,0.027666,0.019367,-0.010352,50.070637
1,-0.015076,-0.035007,0.019913,0.01281,-0.010742,0.028689,0.019398,-0.010367,50.111012
1,-0.014606,-0.019158,0.017686,0.018008,-0.016557,0.02551,0.019362,-0.010366,50.064237
1,-0.016672,-0.028745,0.007363,0.012946,-0.003456,0.027908,0.019368,-0.010363,50.07163
1,-0.011004,-0.004692,0.007244,0.016311,-0.004541,0.027454,0.019384,-0.010356,50.092762
1,-0.017776,-0.00673,0.006438,0.008694,-0.018623,0.025571,0.019362,-0.010365,50.064444
1,-0.015339,-0.001038,0.00767,0.017715,-0.012994,0.02748,0.019397,-0.010361,50.108983
1,-0.014824,-0.02501,0.010992,0.008174,-0.00856,0.02563,0.019388,-0.01037,50.098121
2,0.016438,0.07885,-0.010329,-0.051234,-0.004574,0.079338,0.076774,-0.010734,99.969252
2,0.023432,0.129254,0.001671,-0.02103,-0.013812,0.082917,0.07684,-0.010718,100.012441
2,0.016808,0.078703,-0.002448,-0.051575,-0.010967,0.086228,0.076824,-0.010744,100.002121
2,0.021315,0.111128,-0.00303,-0.027942,-0.020229,0.085824,0.076814,-0.01076,99.995442
2,0.014424,0.090438,-0.005487,-0.049175,-0.013666,0.080767,0.076834,-0.01077,100.00814
2,0.021573,0.128248,-0.008148,-0.026586,-0.025274,0.080695,0.076839,-0.010783,100.011534
2,0.016953,0.091186,-0.005717,-0.048781,-0.002258,0.082472,0.076841,-0.010805,100.01304
2,0.018888,0.095438,0.003215,-0.038049,-0.022198,0.081397,0.076851,-0.010789,100.019485
2,0.012373,0.083046,-0.008418,-0.041283,-0.017171,0.080132,0.076858,-0.010775,100.023824
2,0.019607,0.11803,-0.001634,-0.025973,-0.017464,0.0807,0.076852,-0.010742,100.02021
2,0.01701,0.079199,-0.008531,-0.047891,-0.020794,0.08578,0.07684,-0.010748,100.011998
2,0.023795,0.112182,0.006566,-0.032282,-0.013965,0.083717,0.076901,-0.010763,100.051975
2,0.01945,0.10017,-0.010725,-0.040762,-0.003903,0.085145,0.076894,-0.010794,100.047558
2,0.020238,0.107616,-0.007907,-0.031527,-0.00669,0.081773,0.076882,-0.010806,100.039686
2,0.013984,0.085079,0.000407,-0.034762,-0.020806,0.081166,0.076901,-0.010799,100.052226
2,0.023976,0.110424,-0.007036,-0.024118,-0.002715,0.081636,0.076906,-0.010798,100.055383
2,0.016768,0.073387,-0.007985,-0.047653,-0.012815,0.085611,0.07692,-0.010811,100.064508
2,0.022688,0.116553,0.000659,-0.022234,-0.0082,0.081067,0.076904,-0.010809,100.054204
2,0.01783,0.08453,-0.020683,-0.057325,0.000875,0.086166,0.0769,-0.01081,100.051286
2,0.017821,0.119446,0.002779,-0.018649,-0.005898,0.083924,0.076853,-0.01082,100.020729
2,0.019152,0.105749,-0.010426,-0.045763,-0.013072,0.081961,0.076871,-0.010771,100.032343
3,0.060223,0.20099,-0.029048,-0.110986,0.064987,0.156728,0.17374,-0.010873,150.108534
3,0.056642,0.259568,-0.020158,-0.071877,0.055535,0.151233,0.173753,-0.010876,150.113757
3,0.078108,0.262151,-0.024542,-0.072929,0.046682,0.163988,0.173695,-0.01094,150.088833
3,0.070188,0.218796,-0.034527,-0.103228,0.076165,0.158873,0.173709,-0.010824,150.094858
3,0.070155,0.248612,-0.033789,-0.06777,0.065897,0.161858,0.17365,-0.010786,150.06926
3,0.052419,0.230632,-0.02662,-0.090464,0.070387,0.154781,0.173781,-0.010621,150.12605
3,0.070907,0.218607,-0.027116,-0.100014,0.069271,0.161399,0.173956,-0.010762,150.201577
3,0.074593,0.278131,-0.020319,-0.066677,0.064921,0.154818,0.173915,-0.010721,150.184065
3,0.059115,0.213333,-0.03301,-0.083437,0.055532,0.163315,0.173971,-0.010692,150.208096
3,0.061365,0.222382,-0.035399,-0.088381,0.070718,0.150625,0.173938,-0.010819,150.193978
3,0.068118,0.261593,-0.022091,-0.071139,0.061652,0.159118,0.173957,-0.010749,150.201925
3,0.061817,0.222379,-0.0263,-0.097594,0.071191,0.159374,0.174,-0.010748,150.220587
3,0.070703,0.274082,-0.02352,-0.064184,0.05469,0.157289,0.17388,-0.010862,150.169023
3,0.063907,0.207663,-0.030318,-0.103513,0.066545,0.153119,0.173851,-0.010761,150.156361
3,0.065575,0.243903,-0.028527,-0.078435,0.053783,0.161524,0.173849,-0.010764,150.155532
3,0.066108,0.254244,-0.0185,-0.067498,0.045515,0.154953,0.173762,-0.010815,150.117945
3,0.059584,0.197063,-0.025262,-0.10751,0.077228,0.160485,0.173788,-0.010702,150.129134
3,0.065873,0.248967,-0.031285,-0.072838,0.055658,0.163448,0.17389,-0.010624,150.173027
3,0.05766,0.2437,-0.016257,-0.078659,0.057492,0.155899,0.173855,-0.010821,150.158184
3,0.068898,0.236515,-0.027528,-0.083175,0.070244,0.156435,0.173739,-0.010885,150.107799
3,0.068739,0.24311,-0.031909,-0.080573,0.066091,0.156955,0.173789,-0.01074,150.129717
4,0.087865,0.365819,-0.019416,-0.105034,0.325843,0.254267,0.308406,-0.008863,200.179382
4,0.092881,0.368038,-0.032171,-0.116532,0.292578,0.256218,0.308107,-0.009121,200.082335
4,0.086306,0.366278,-0.028953,-0.102866,0.354661,0.253439,0.307472,-0.009417,199.875863
4,0.077067,0.370823,-0.009269,-0.101602,0.347441,0.251404,0.307351,-0.009448,199.836738
4,0.102297,0.371608,-0.032508,-0.122136,0.320839,0.253644,0.3074,-0.009317,199.852523
4,0.083826,0.391086,-0.0228,-0.10591,0.312644,0.252825,0.307368,-0.009216,199.841959
4,0.081625,0.36877,-0.026418,-0.115143,0.35041,0.249206,0.307362,-0.009108,199.840098
4,0.096479,0.379019,-0.04021,-0.115514,0.353558,0.263721,0.30818,-0.008663,200.105764
4,0.091707,0.390305,-0.033159,-0.110139,0.329599,0.25149,0.308626,-0.008667,200.250692
4,0.094644,0.3774,-0.0389,-0.109643,0.320581,0.255507,0.307841,-0.009441,199.995922
4,0.086452,0.377911,-0.024943,-0.098226,0.319562,0.250781,0.307326,-0.009263,199.828406
4,0.078003,0.377974,-0.032136,-0.118493,0.288792,0.25728,0.308306,-0.008607,200.146792
4,0.091494,0.370681,-0.028176,-0.108603,0.378949,0.250651,0.30885,-0.008676,200.32327
4,0.085575,0.396949,-0.023505,-0.107157,0.328235,0.256982,0.308762,-0.008849,200.294801
4,0.086328,0.37093,-0.035994,-0.113135,0.33653,0.246634,0.308711,-0.009012,200.278328
4,0.091497,0.372043,-0.013928,-0.093175,0.317962,0.253927,0.308621,-0.009185,200.24906
4,0.088424,0.374988,-0.031352,-0.112611,0.295353,0.256088,0.307996,-0.009297,200.046281
4,0.07988,0.385219,-0.034934,-0.118654,0.307283,0.24802,0.30791,-0.009361,200.018332
4,0.094352,0.418679,-0.021862,-0.099881,0.376872,0.25913,0.308313,-0.008936,200.148943
4,0.090444,0.39684,-0.043879,-0.128946,0.327692,0.254988,0.308785,-0.008882,200.302101
4,0.072245,0.354224,-0.029721,-0.113043,0.330407,0.249742,0.308188,-0.009281,200.108437
5,0.152315,0.563092,-0.059879,-0.198758,0.594957,0.367718,0.475643,-0.006584,249.51791
5,0.178737,0.594481,-0.066692,-0.183761,0.59515,0.371952,0.475575,-0.007249,249.50017
5,0.173381,0.606952,-0.060995,-0.204879,0.499876,0.37268,0.474751,-0.007182,249.283895
5,0.170274,0.583949,-0.072217,-0.197194,0.576279,0.377788,0.476024,-0.006509,249.617967
5,0.140137,0.569626,-0.042213,-0.197426,0.614724,0.37055,0.47569,-0.00687,249.530187
5,0.187048,0.600387,-0.056389,-0.194014,0.57998,0.376996,0.474859,-0.007486,249.312286
5,0.120949,0.573995,-0.049076,-0.191592,0.640376,0.37296,0.475676,-0.006483,249.526539
5,0.140465,0.573717,-0.045312,-0.175587,0.650454,0.36611,0.477096,-0.00624,249.898741
5,0.207266,0.600121,-0.082853,-0.216481,0.43857,0.384491,0.475223,-0.007467,249.407757
5,0.179718,0.599335,-0.092097,-0.230374,0.578654,0.372449,0.475433,-0.00721,249.462796
5,0.158438,0.598112,-0.058177,-0.19085,0.651596,0.372801,0.475799,-0.006781,249.558741
5,0.200752,0.600529,-0.072955,-0.207072,0.637931,0.369356,0.475654,-0.006978,249.520787
5,0.154976,0.576841,-0.059532,-0.192002,0.540513,0.379616,0.476394,-0.006568,249.714899
5,0.194582,0.584301,-0.084214,-0.188656,0.677507,0.366936,0.477746,-0.006267,250.068928
5,0.170482,0.573142,-0.053634,-0.157007,0.653097,0.374496,0.47643,-0.007183,249.724378
5,0.168232,0.587229,-0.075381,-0.204998,0.658896,0.365225,0.475225,-0.007672,249.408183
5,0.194515,0.598167,-0.088153,-0.200069,0.588599,0.371004,0.474644,-0.007582,249.2559
5,0.147245,0.589037,-0.037778,-0.20139,0.562042,0.380639,0.473765,-0.007823,249.024755
5,0.149301,0.576685,-0.049252,-0.198681,0.572836,0.37807,0.474615,-0.007014,249.248177
5,0.153591,0.592866,-0.06363,-0.181524,0.733889,0.363217,0.475803,-0.006691,249.560034
5,0.184984,0.615387,-0.074197,-0.219815,0.614262,0.37392,0.475105,-0.0069,249.376728
6,3.43571,1.972895,-2.605222,-3.028534,-8.51729,-0.018608,0.17239,-0.011986,150.078182
6,3.354895,2.09256,-2.532123,-2.942753,-5.415625,0.002707,0.172362,-0.012082,150.066024
6,3.238348,2.24442,-2.411735,-2.838101,-1.216596,0.020217,0.172408,-0.012071,150.086151
6,3.218803,2.25153,-2.398342,-2.823108,-1.08494,0.010459,0.172385,-0.01219,150.076094
6,3.260424,2.212115,-2.443933,-2.865362,-2.25036,0.003623,0.172141,-0.012261,149.969839
6,3.210475,2.271266,-2.395727,-2.826103,-0.438783,0.011467,0.172214,-0.012071,150.00169
6,3.430132,1.9939,-2.60967,-3.030914,-8.052438,-0.02757,0.172304,-0.012047,150.040939
6,3.418478,2.004251,-2.596047,-3.007553,-7.385025,-0.007934,0.17223,-0.012151,150.008664
6,3.333944,2.119571,-2.510962,-2.916627,-4.679177,0.010465,0.172171,-0.012193,149.982603
6,3.405997,2.015982,-2.585621,-2.994258,-7.395711,-0.020433,0.172092,-0.012183,149.948568
6,3.348167,2.10474,-2.524981,-2.94023,-5.157452,-0.012393,0.172113,-0.012034,149.957478
6,3.268134,2.168449,-2.454204,-2.876563,-2.746409,-0.00435,0.172216,-0.012033,150.002605
6,3.221969,2.248182,-2.396021,-2.836558,-0.670715,0.017516,0.172262,-0.012056,150.022598
6,3.423109,1.981865,-2.585356,-2.995333,-7.751081,-0.009677,0.172273,-0.012179,150.027373
6,3.274799,2.168618,-2.458298,-2.880188,-2.81565,0.002635,0.172189,-0.012067,149.990489
6,3.320638,2.10365,-2.50147,-2.92634,-4.479682,-0.007264,0.172338,-0.011974,150.055394
6,3.414116,1.996034,-2.576775,-3.015347,-7.632304,-0.034288,0.172372,-0.012086,150.070158
6,3.443756,1.95878,-2.611754,-3.026885,-8.737543,-0.020479,0.172337,-0.012309,150.055276
6,3.277272,2.178422,-2.450749,-2.879047,-2.764132,0.020073,0.172104,-0.012388,149.953647
6,3.559233,1.800649,-2.722836,-3.121391,-12.645208,-0.020273,0.172054,-0.012205,149.931735
6,3.442666,1.947937,-2.618056,-3.050103,-8.787105,-0.025695,0.172105,-0.012083,149.954059
7,4.506809,3.048522,-3.352924,-3.698753,0.555103,-0.158056,0.1726,-0.012072,150.169471
7,4.518356,3.036924,-3.370531,-3.744219,0.560872,-0.180269,0.172604,-0.012023,150.17137
7,4.518317,3.04793,-3.360596,-3.72574,0.55078,-0.182913,0.173154,-0.01181,150.410156
7,4.511568,3.051309,-3.353483,-3.714683,0.542731,-0.18607,0.173142,-0.01191,150.405133
7,4.522573,3.03495,-3.380743,-3.741026,0.558073,-0.163938,0.173096,-0.012078,150.385333
7,4.525317,3.089495,-3.366191,-3.710255,0.558023,-0.155039,0.173069,-0.012074,150.373269
7,4.527525,3.017367,-3.366432,-3.736352,0.540708,-0.159087,0.173443,-0.011922,150.535977
7,4.533461,3.050368,-3.366993,-3.714413,0.523336,-0.162663,0.173511,-0.011993,150.56544
7,4.535655,3.026828,-3.379484,-3.755583,0.548439,-0.158167,0.173457,-0.012129,150.542102
7,4.542712,3.048035,-3.372145,-3.739081,0.556027,-0.175185,0.173915,-0.011918,150.740396
7,4.532966,3.04727,-3.38168,-3.749659,0.562262,-0.170092,0.174039,-0.012103,150.79436
7,4.546413,3.047361,-3.385953,-3.738337,0.554372,-0.165239,0.173894,-0.012202,150.731419
7,4.545505,3.049577,-3.388907,-3.745058,0.564838,-0.168985,0.173872,-0.012208,150.722008
7,4.543428,3.057262,-3.388364,-3.750215,0.562366,-0.168518,0.174053,-0.012182,150.800182
7,4.54472,3.057775,-3.38434,-3.747693,0.558072,-0.167633,0.173943,-0.012353,150.7526
7,4.552768,3.068953,-3.39278,-3.741788,0.550726,-0.161229,0.173977,-0.012253,150.767484
7,4.540495,3.049341,-3.38555,-3.749064,0.564856,-0.164876,0.174071,-0.012217,150.808168
7,4.552203,3.073165,-3.385271,-3.737121,0.557124,-0.169554,0.17402,-0.012301,150.786103
7,4.555371,3.06614,-3.393627,-3.74638,0.555377,-0.163832,0.174098,-0.012268,150.819839
7,4.553988,3.035697,-3.405922,-3.762118,0.574518,-0.154766,0.174457,-0.01223,150.975353
7,4.558168,3.070199,-3.387216,-3.753677,0.543674,-0.176965,0.174314,-0.012326,150.913254
8,5.833523,3.794066,-4.375409,-4.510663,0.423267,-0.288227,0.172231,-0.013843,149.593581
8,5.853048,3.803788,-4.369859,-4.514964,0.455902,-0.28877,0.172345,-0.013707,149.643061
8,5.850267,3.789388,-4.371776,-4.522123,0.434594,-0.281177,0.172576,-0.013555,149.743583
8,5.866125,3.818945,-4.373096,-4.49912,0.445132,-0.269092,0.172693,-0.013575,149.794091
8,5.862214,3.776645,-4.376626,-4.532776,0.457162,-0.273146,0.172785,-0.013635,149.834316
8,5.874209,3.81463,-4.370972,-4.486139,0.416419,-0.257871,0.17279,-0.01369,149.836159
8,5.863617,3.777325,-4.375887,-4.519847,0.430005,-0.267077,0.172997,-0.013655,149.926089
8,5.854363,3.798759,-4.360678,-4.49673,0.425166,-0.274485,0.172708,-0.013719,149.800596
8,5.850849,3.77328,-4.373859,-4.518723,0.430976,-0.287855,0.172705,-0.013758,149.799406
8,5.856759,3.783624,-4.373996,-4.507166,0.481889,-0.286902,0.172678,-0.01377,149.787728
8,5.856852,3.785749,-4.368714,-4.503664,0.434096,-0.275747,0.172767,-0.013649,149.82631
8,5.838431,3.769163,-4.357732,-4.495338,0.431058,-0.285334,0.172789,-0.013743,149.835647
8,5.845141,3.772055,-4.357859,-4.490793,0.434472,-0.259612,0.172518,-0.013931,149.718099
8,5.857223,3.765475,-4.365737,-4.514272,0.447859,-0.254137,0.172616,-0.013731,149.760679
8,5.859439,3.793436,-4.369959,-4.501546,0.445146,-0.258906,0.172696,-0.013708,149.795662
8,5.841367,3.770812,-4.364115,-4.50817,0.45974,-0.271145,0.172516,-0.013768,149.71761
8,5.847882,3.79474,-4.373368,-4.506649,0.446711,-0.292272,0.172457,-0.013755,149.691792
8,5.854343,3.790137,-4.365322,-4.51446,0.474186,-0.289672,0.172542,-0.013618,149.728869
8,5.854789,3.776103,-4.379723,-4.519681,0.454693,-0.276148,0.172643,-0.013583,149.772682
8,5.852216,3.799546,-4.357648,-4.491719,0.458877,-0.265,0.172608,-0.013686,149.757553
8,5.868243,3.794445,-4.371005,-4.512882,0.425529,-0.264826,0.172566,-0.01358,149.7392
9,7.181523,4.895297,-5.352383,-6.318941,0.273574,-0.172126,0.1741,-0.013942,150.542574
9,7.145104,4.834002,-5.322038,-6.234855,0.380577,-0.180469,0.174312,-0.013918,150.634104
9,7.155478,4.852967,-5.325805,-6.308204,0.305158,-0.170536,0.174293,-0.01411,150.626061
9,7.149959,4.807018,-5.312727,-6.237174,0.164256,-0.160012,0.174155,-0.014164,150.566443
9,7.166849,4.848968,-5.339075,-6.280574,0.296227,-0.158531,0.174246,-0.014028,150.605556
9,7.171198,4.858486,-5.344383,-6.323125,0.336247,-0.167635,0.174431,-0.014112,150.68568
9,7.16293,4.845021,-5.318868,-6.238235,0.356896,-0.158261,0.174273,-0.014194,150.617444
9,7.169427,4.838503,-5.338558,-6.320639,0.311289,-0.171834,0.174301,-0.014128,150.629245
9,7.170374,4.875486,-5.323785,-6.207251,0.426124,-0.169976,0.174458,-0.014052,150.697258
9,7.142048,4.79919,-5.331409,-6.265023,0.272946,-0.180787,0.174537,-0.014116,150.731336
9,7.14895,4.835162,-5.302282,-6.268406,0.255668,-0.154805,0.174497,-0.014228,150.714223
9,7.110269,4.806579,-5.307749,-6.191665,0.349569,-0.164162,0.174464,-0.014207,150.699597
9,7.166496,4.862114,-5.333424,-6.293021,0.295768,-0.171443,0.174437,-0.014284,150.688208
9,7.170765,4.874173,-5.346067,-6.298847,0.305889,-0.167812,0.174435,-0.014236,150.687233
9,7.127006,4.752715,-5.303351,-6.242018,0.168466,-0.154637,0.174588,-0.014162,150.753271
9,7.185721,4.820702,-5.348473,-6.330262,0.081307,-0.17994,0.174741,-0.014239,150.819198
9,7.165379,4.821328,-5.334562,-6.287436,0.19219,-0.177615,0.174762,-0.014254,150.828308
9,7.181393,4.860468,-5.34996,-6.305373,0.287945,-0.164207,0.17486,-0.014366,150.870854
9,7.165639,4.778718,-5.333349,-6.235361,0.197306,-0.144466,0.174796,-0.014386,150.843187
9,7.15973,4.849736,-5.332746,-6.261503,0.301319,-0.169388,0.174884,-0.014352,150.880963
9,7.152452,4.770705,-5.327261,-6.243456,0.03379,-0.17025,0.174824,-0.01445,150.85497
10,7.637679,5.070566,-5.66906,-6.766289,-0.47512,-0.069749,0.171388,-0.015353,149.641281
10,7.621646,5.0059,-5.644935,-6.700606,-0.502349,-0.077624,0.1714,-0.015389,149.646414
10,7.704158,5.140598,-5.71244,-6.852498,-0.441481,-0.078818,0.171451,-0.015379,149.668813
10,7.702886,5.082319,-5.705257,-6.839461,-0.633851,-0.060044,0.171553,-0.015397,149.71339
10,7.684386,5.114229,-5.71008,-6.78437,-0.266041,-0.055182,0.171456,-0.015462,149.671063
10,7.644975,5.035314,-5.664546,-6.735919,-0.679885,-0.044286,0.171401,-0.015574,149.646917
10,7.694528,5.094742,-5.728335,-6.76734,-0.259649,-0.077713,0.171393,-0.015557,149.64374
10,7.662699,5.082272,-5.687455,-6.807382,-0.742535,-0.079253,0.171737,-0.015497,149.79356
10,7.66008,5.082061,-5.679321,-6.746521,-0.570683,-0.067875,0.171654,-0.015542,149.757378
10,7.689133,5.10573,-5.716669,-6.873121,-0.5152,-0.071393,0.171568,-0.015468,149.71986
10,7.630052,5.058724,-5.659638,-6.670431,-0.607846,-0.057468,0.171626,-0.01554,149.745086
10,7.677106,5.086115,-5.711446,-6.761737,-0.387507,-0.054718,0.171684,-0.015515,149.770318
10,7.626627,4.989801,-5.64662,-6.708087,-0.847272,-0.048192,0.171769,-0.015587,149.807762
10,7.628158,4.980449,-5.638898,-6.66493,-0.948314,-0.050951,0.171682,-0.015619,149.769503
10,7.661013,5.030185,-5.681165,-6.73482,-0.695744,-0.051908,0.171672,-0.015621,149.765415
10,7.654927,5.044147,-5.673725,-6.736929,-0.351841,-0.066484,0.171653,-0.015648,149.757216
10,7.680828,5.187585,-5.692483,-6.772729,-0.288491,-0.071716,0.171559,-0.015631,149.716071
10,7.66471,5.024405,-5.686912,-6.777725,-0.575551,-0.08317,0.171571,-0.015747,149.72116
10,7.654487,5.082048,-5.658023,-6.76014,-0.669798,-0.064874,0.171535,-0.015674,149.705685
10,7.641772,5.021222,-5.683862,-6.734815,-0.671822,-0.05882,0.171607,-0.015569,149.736829
10,7.685169,5.077077,-5.712587,-6.745419,-0.563274,-0.053124,0.171661,-0.015562,149.760481
